Name,Address,Chinese Name,City,Day,Description,Duration,Group,Notes,Status,Style,Time,Type,Visited,userDefined:URL
Stanford University,"450 Serra Mall, Stanford, CA 94305",斯坦福大学,Stanford,Day 2,硅谷的精神源头，Main Quad和Memorial Church值得一看。Hoover Tower可以俯瞰整个校园。距Computer History Museum仅5分钟车程,1.5h,Highway 1 North,,pending,tech,12:00-13:30,Attractions,No,"https://maps.google.com/?q=450+Serra+Mall,+Stanford,+CA+94305"
Big Sur (Bixby Bridge + Pfeiffer Beach),"Highway 1, Big Sur, CA 93920",大瑟尔（比克斯比桥 + 菲佛海滩）,Big Sur,Day 3,一号公路的精华段。Bixby Bridge是最经典打卡点；Pfeiffer Beach的紫色沙滩和Keyhole Arch岩洞。公路本身就是景点,3.5h,Big Sur & Coast,出发前check Caltrans路况——Big Sur近年有滑坡封路历史,pending,nature,10:30-14:00,Attractions,No,"https://maps.google.com/?q=Highway+1,+Big+Sur,+CA+93920"
LA Downtown,"Downtown Los Angeles, CA 90012",洛杉矶市中心,Los Angeles,Day 5,The Broad免费当代艺术馆、Walt Disney Concert Hall外观（Frank Gehry设计）、Arts District街头艺术,2.5h,Los Angeles,,pending,culture,18:30-21:00,Attractions,No,"https://maps.google.com/?q=Downtown+Los+Angeles,+CA+90012"
Santa Barbara,"State Street, Santa Barbara, CA 93101",圣巴巴拉,Santa Barbara,Day 4,'美国的里维埃拉'。统一的西班牙殖民复兴建筑风格。State Street步行街、Stearns Wharf码头。今晚住在这里，不赶路到LA,4.5h,Central Coast,住宿点。比原计划多了2.5h享受Santa Barbara的时间,pending,culture,15:30-20:00,Attractions,No,"https://maps.google.com/?q=State+Street,+Santa+Barbara,+CA+93101"
General Sherman Tree & Congress Trail,"Giant Forest, Sequoia National Park, CA 93262",谢尔曼将军树 & 国会小径,Sequoia NP,Day 6,地球上体积最大的树——高275英尺，周长102英尺，约2200年历史。Congress Trail全程2.9mi可以看到更多巨杉群,2h,Sequoia,LA 8:30出发，预计13:00-14:00到达公园（含山路）,pending,nature,14:30-16:30,Attractions,No,"https://maps.google.com/?q=Giant+Forest,+Sequoia+National+Park,+CA+93262"
Point Lobos State Natural Reserve,"62 CA-1, Carmel-by-the-Sea, CA 93923",罗伯斯角州立自然保护区,Carmel,Day 3,被称为'加州州立公园系统的皇冠明珠'。海獭、海狮、海鸟栖息地。China Cove的碧蓝海水令人难忘,1.5h,Big Sur & Coast,,pending,nature,08:30-10:00,Attractions,No,"https://maps.google.com/?q=62+CA-1,+Carmel-by-the-Sea,+CA+93923"
Griffith Observatory,"2800 E Observatory Rd, Los Angeles, CA 90027",格里菲斯天文台,Los Angeles,Day 5,免费入场！Hollywood Sign全景、天文望远镜、天文展览。自1935年从未收费（创始人遗嘱）。代表LA对科学普及的承诺。周二-周五 noon-10pm开放,2.5h,Los Angeles,Apr 21是周二，正常开放。室内展览noon才开门，建议午后到达,pending,tech,13:00-15:30,Attractions,No,"https://maps.google.com/?q=2800+E+Observatory+Rd,+Los+Angeles,+CA+90027"
Chinatown San Francisco,"Grant Avenue, San Francisco, CA 94108",旧金山唐人街,San Francisco,Day 9,北美最古老的唐人街（1848年）。Dragon's Gate牌楼、点心早茶、中药店、传统庙宇。代表SF移民门户城市的历史根基,1.5h,San Francisco,,pending,culture,10:00-11:30,Attractions,No,"https://maps.google.com/?q=Grant+Avenue,+San+Francisco,+CA+94108"
San Luis Obispo,"Downtown San Luis Obispo, CA 93401",圣路易斯-奥比斯保,San Luis Obispo,Day 4,大学城。Bubblegum Alley网红打卡。Downtown有西班牙风格Mission教堂,1h,Central Coast,,pending,culture,10:00-11:00,Attractions,No,"https://maps.google.com/?q=Downtown+San+Luis+Obispo,+CA+93401"
Computer History Museum,"1401 N Shoreline Blvd, Mountain View, CA 94043",计算机历史博物馆,Mountain View,Day 2,世界上最大的计算机历史收藏，从算盘到AI。紧邻Stanford，可以一起安排。周三-周日 10am-5pm开放,2h,Highway 1 North,,pending,tech,10:00-12:00,Attractions,No,"https://maps.google.com/?q=1401+N+Shoreline+Blvd,+Mountain+View,+CA+94043"
